reference_transcriptions,generated_transcriptions
and and i think this is something that must happen with people that have strokes is that they, And I think this is something that must happen with people that have strokes is that they
i looked up the number that i was supposta call urgent clinic, I looked up the number that I was supposed to call urgent clinic.
and this was already six o'clock at night, And this was already six o'clock at nine.
and it had all of these choices, And it had all of these choices.
if it's an immediate emergency go call nine one one," If it's an immediate emergency, go call 911."
and i thought, I don't know.
well that's not me, That's the key.
i'm just gonna make an appointment and go into the urgent clinic tomorrow morning, I just make an appointment and go into the urgent clinic tomorrow morning.
and then it said, And then it's said.
if it's this situation call two," if it's this situation called,"
and if it's this situation call you know press three," and if it's this situation call, you know, press three."
and if it's this situation call four, And if it's this situation called four.
and apparently if you stayed on for two and a half minutes they finally say," And apparently if you stayed on for two and a half minutes, they finally'd say,"
a real person will come on the line, A real person will come on the line.
but my head really hurt, but my head really hurt.
and i was just going, I'm just going to...
well this isn't helping," Well, this isn't hell."
so i hung up the phone and said, so I hung up the phone and so
i'll just get up tomorrow morning, I'll just get up tomorrow morning.
and i'll see if i anybody will answer the phone, and I'll see if anybody will answer the phone.
but i called my daughter, But I told my daughter.
and she she was very frightened, And she was very frightened.
she just said, to set
you don't sound like yourself, You don't sound like yourself.
you need to go take an ambulance, you need to go take an ambulance.
i'm not gonna pay for an ambulance, I'm not gonna pay for an ambulance.
that's ridiculous, It's just ridiculous.
there's nothing wrong with me, Yeah.
i just have a headache, and just have a headache.
and i don't wanna spend that much money, I don't want to spend that much money.
and she and her partner they called the fire department," And she and her partner, they called the fire department."
she's in minneapolis, She's a Minneapolis.
she's just finishing school up there, She's just finishing school up there.
but she they called the fire department in madison, she um they called the fire department in Madison.
and they said," and they said,"
hypothetically this is paula," Pathetically, this is..."
this is her situation, This is her situation.
and they said," And they said,"
it sounds like she's having a stroke, It sounds like she's having a...
she needs to get to the emergency room, needs to get to the emergency.
and and they said," and they said,"
but she doesn't wanna go, but she doesn't want to go.
and they said," and they said,"
all of a sudden i know is i'm you know getting ready to eat supper," all of a sudden I know is I'm living on my, you know, getting ready to teach supper."
and i hear these people running up the stairs outside my my apartment, And I hear people running up the stairs outside my apartment.
they had just sent over really goodlooking firemen by the way," They had just hit it over. Um, it's really good looking firemen by the way."
i think it must be the uniform, I think it must be the uniform.
i'm not sure, I'm not sure what that is.
i answered the door, I answered the door and
and i told them that, and I told them that.
no i didn't have, I didn't have that.
i didn't know what was going on, I didn't know what was going on.
but i couldn't talk, I couldn't talk.
you needta come with us right now, You need to come with us right now.
and i said, nice to.
well no i'll take a," Well, no, I'll take a..."
and they said, And next.
you can't drive, you can't drive.
well i'm gonna go tomorrow to the doctor, I'm gonna go to Maro's.
no you're gonna go with us right now," No, you're gonna go with this right now."
and i said, I said.
well alright, Alright.
well let me get my coat and all the other stuff, Let me get my coat and I'll be other stuff.
and all of a sudden i got into the emergency room, Yeah. All of a sudden I got into the emergency room.
and it was just this huge," it was just this huge,"
everyone's racing around and yelling, racing around and gelling.
and all of a sudden they hauled me in for a a cat scan and came out and said," All of a sudden they hauled me in for a cat scan and came out and said,"
yeah you had a stroke," Yeah, you had a stroke."
so i asked the doctor if my god i could see it, So I asked the doctor if I could see it.
and he showed me on the cat scan exactly what had happened, And he showed me on the CAT scan exactly what it happened.
and they admitted me, they admitted.
so that's how i found out i had a stroke, So that's how I found out I have a stroke.
i i i really have had no issues whatsoever with muscle feet weakness," Yeah, I really have had no issues whatsoever with my muscle feet."
if i had i might've known sooner, If I had my hands.
i just didn't know about the headache, I just didn't know about the headache.
i've never had one again, I've never had one again.
i've never had one before, I've never had.
but apparently if you get a really really bad headache that hits you on the side of the head it means you should probably go to the emergency room," But apparently if you get a really, really bad headache that hits you on the side of the head, it means you should probably go to the emergency room."
so i don't know if that gave you, I don't know if that gave you.
it it doesn't give you a lot of insight, It doesn't give you a lot of insight.
again if i'd gone there immediately right after i had worked out when i had the headache it's possible that they could have stopped it," Again, if I immediately, right after I had worked out, when I had the headache, it's possible that they could have stopped it."
but at that point the window of opportunity had closed, at the point the window of opportunity had to be.
but it was an ischemic stroke not a hemorrhagic stroke," but it was an ischemic stroke, not a hemorrhagic stroke."
and it they ultimately decided it was cryptogenic because they've not been able to find out why i had it, And they ultimately decided it was cryptogenic because they've not been able to find out why I had it.
i all of my medical numbers are good," All of my numbers, our medical numbers are good."
i'm not diabetic, not died back.
i don't smoke, I don't smoke.
i have low blood pressure, I have low blood pressure.
everything looks good, Everything looks good.
but i did indeed have a stroke, but I did indeed have a stroke.
so something happened somewhere," So something happens, someone's going to be in the room."
and in the hospital i got to watch the insurrection, And in the hospital I got to watch the insurrections.
and it was just, And it's just...
yeah right," Yeah, right."
yeah so two years later here i am," So, yeah, so two years, two years later here."
and if i ever get to the point that i'm articulate enough about this i'm going to use my political science advocacy and and research and do something more about getting people some kind of treatment," Well, again, and if I ever get to the point that I'm articulate enough about this, I'm going to use my political science advocacy and research and do something more about getting people some kind of treatment."
i was given almost nothing, I was given almost nothing.
partially i think it was because," Partially, I think it was because it was a"
and and really madison wisconsin is a major city," And really Madison, Wisconsin is a major city."
so i shoulda been able to get the best type of help available, So I should have been able to get the best type of help available.
but i didn't, I didn't.
the best i could get was we found two speech therapists, The best I could get was we found two speech therapists.
one of them only specialized in children, One of them only specialized in children.
so i didn't work with her, So I didn't work with.
the other person, other person.
and it was literally one hour a week for eleven weeks, It is literally one hour a week for a week.
and basically because i am an academic because i have the ability to read complicated texts and because that part of my brain wasn't hurt interfered with in any way i hadta do my own research," And basically, because I am an academic, because I have the ability to read complicated texts and because that part of my brain wasn't interfered with in any way. I had to do my own research."
i hadta do a lot of research about aphasia, I had to do a lot of research to get a phasor.
and the the speech therapist," And the speech pathologist, not pathologist therapist."
they're very different, very different.
she i mean she helped me a lot i would say," She, I mean, she helped me a lot, I would say."
so i should be looking up on this particular thing, So I should be looking up on this particular thing.
and i should be looking up on this particular topic, and I should be looking up on the picture top.
and but she hadn't kept up with it either, But she hadn't kept up with it either.
she hadn't learned about some of the most recent treatments that were available, she hadn't learned about some of the most recent treatments that were failed.
so basically what i did is i'm i went back to exercise as soon as they allowed me, So basically what I did is I went back to exercise as soon as they allowed me.
i couldn't work out for three months, I couldn't work out for three months.
i could only walk because they were concerned that my physical activity had something to do with the stroke, I can only walk because they were concerned that my physical activity had something to do with the stroke.
which is certainly, Thank you.
so i just hadta walk, I just had to walk.
i had to, I had to
they tested me for afib, They tested me for AFM.
and i hadta wear this monitor on for about three months, and I had to wear this for monitor on for about three months.
but i don't have afib either so, but I don't have a fib either. So.
but i focus on diet, But I focus on diet.
i really wasn't drinking much alcohol at all then anyway, I really wasn't drinking much alcohol at all then.
but i've stopped it completely, I've stopped it completely.
so now i'm back exercising as much as i can, So now I'm back exercising as much as I can.
i'm really careful in terms of my diet, and really careful in terms of my diet.
and i'm really focused on inflammation limiting it in terms of my diet and what i eat," And I really focus on inflammation, limiting it in terms of my diet and what I see."
and i write every day, And I write every day.
i journal every day, I journal every day.
right now i'm trying to write an article which i hope to get published, now I'm trying to write an article which I hope to get published.
because that's maybe the hardest thing for my brain that i've ever hadta do before the stroke or after is the ability to weave arguments together in a really really dense well written type of of argument," because that's maybe the hardest thing for my brain, but I've ever had to do before the stroke or after is the ability to weave arguments together in a really dense, well-written type of argument."
so i have time to write, So I'm time to write.
i read aloud every day the newspapers because i think saying words is a way of reinstating those, And I read aloud every day the newspapers because I think saying words is a way of reinstating those
whether it's the files that were there, whether it's the files that were there.
or i just need to learn relearn how to say a word, I just need to relearn how to say word.
like abroadq, Like a bro.
i'll probably be able to say that a lot for a long time until a couple of weeks, I'll probably be able to say that a lot for a long time until a couple of weeks.
and then i'll mispronounce that one again, and then I'll mispronounce that one again.
but that's really all i know how to do is keeping it up in terms of, But that's really all I know how to do is keeping it up in terms of
oh and sleeping, and sleeping.
i've always loved sleeping, I'm always sleeping.
i generally have gone without it enough, I generally have gone without it.
you know if you stay up late and you're doing something," You know, if you stay up late and you're doing something."
but you still have to get up because you have a class or you've got stuff to do, but you still have to get up because you have a class or you've got stuff to do.
i try to make sure i always have at least eight or nine hours a day to be able to sleep," I try to make sure I always have at least eight or nine hours a week, hours a day to be able to sleep."
and that seems to be something that i didn't needta do before, And that seems to be something that I didn't need to do before
but now i really do needta do, but now I really do need to do...
mhm but that's all i'm doing, Mm-hmm. But that's all I'm doing.
i'm still working, I'm still working.
but i'm not able to teach, but I'm not able to teach.
you can see what i would be like in ninety minutes, You can see what I would be like in 90 minutes.
i'd get in front of a class, I'd get in front of a class.
and i'd start talking, I start talking.
and people would be going, people become
what what, Thank you.
no, Thanks.
so maybe that'll come back, So maybe that'll come back.
or i can do, or I can do...
i could teach through online through and stuff, I could teach through online stuff.
but so far i'm just doing other stuff, But so far I'm just doing other stuff.
but i did love teaching, I did love teaching.
we'll see if i can get back to it again, We'll see if I can get back to it again.
i don't know, I don't know.
anyway so that's what i do," Anyway, so that's what I do."
and and i think doing it consistently is really really important," And I think doing it consistently is really, really important."
and i just keep pushing myself to do different things, And I just keep pushing myself to do different things.
there's literally nothing that i'm not forcing myself to, There's literally nothing that I'm not forcing myself to.
not forcing myself, not forcing myself.
but certain things i go through every single day, certain things I go through every single day.
i do yoga every night, I do yoga every night.
i think that's useful, I think that's useful.
i don't know, I don't know.
again i'm always looking at research always trying to find something that's going to increase my healing in some way or another to the extent that my brain will be able to repair those language pathways since that's that was is what was disrupted," Again, I'm always looking at research, always trying to find something that's going to increase my healing in some way or another, to the extent that my brain will be able to repair those language pathways, since that is what was disrupted."
i spent a fair amount of time trying to figure out why a righthanded person with a stroke on the right side ended up with aphasia, I spent a fair amount of time trying to figure out why a right-handed person with a stroke on the right side ended up with a phase
but i mean other than the fact that it doesn't qualify me for many clinical trials because they do require the left hand stroke aphasia," But I mean, other than the fact that it doesn't qualify me for many clinical trials because they do hire the left hand stroke."
other than that i guess i just don't worry about it all that much," Other than that, I guess I just don't worry about it all that much."
i'm just doing what i can to try to heal and relying on neuroplasticity to be able to take take hold," I'm just doing what I can to try to heal and relying on neuroplasticity to be able to take force, take hold."
though i do understand that at my age in my sixties plasticity is less likely as much as healing is," Though I do understand that at my age in my 60s, plasticity is less likely as much as healing is."
so i don't know," So, I don't know."
we'll see what, We'll see what's next.
i just watch it every day this work in progress it seems like," I just watch it every day, this experiment in work, or this work in progress and seeing the cycle."
how it comes out and how it doesn't come out, how it comes out and how it doesn't come out.
we'll see yeah," We'll see, yeah."
a lot of people don't know i have aphasia, A lot of people don't know I have a facial.
and i like keeping it that way because the there is a a stigma attached attached to having a disability even if it's an invisible disability," And I like keeping it that way because there is a stigma attached to having a disability, even if it's invisible."
i'd rather have people just think i misspoke than having them think that they have to speak very carefully around me, I'd rather have people just think I misspoke than having them think that they have to speak very carefully around me.
so i i'd rather just see if i can just wing it, I'd rather just see if I can just wing it.
so yeah very few people know that i have aphasia," So yeah, very few people know that I have aphasia."
mostly family members know, mostly family members know.
but i don't tell anyone else about it, but I don't tell anyone else about it.
i just try to figure it out, just try to figure it out.
and it should be something important, and it should be something important.
well you know i i guess i would," Well, you know, I guess I would"
something that i would say is being very important for me was working with a menominee elder who, Something that I would say is being very important for me was working with a. Menominee elder. Who.
i'm very close to her, I'm very close to work.
i met ada deer about ten years ago, I met Ada Deere about 10 years ago.
probably more fifteen years at this point, probably more 15 years at this point.
and i was teaching at a university, And I was teaching at a university.
and i invited her to, And I invited her to...
i was the advisor of the native students organization because my research is on state tribal relationships, I was the advisor of the Native Students Organization because my research is on state tribal relations.
and i had invited her to come and speak in one of my classes, and I had invited her to come and speak in one of my classes.
and she came down, And she came down.
and we hit it off with each other, and we hit it off with each other.
and she was one of the most remarkable people that i've ever met, And she was one of the most remarkable people that I've ever met.
she was the oldest in a family of eleven, She was the oldest in a family of 11.
she grew up on the menominee reservation without running water, She grew up on the Monomaly Reservation without running water.
she was the first person to get a college degree from her tribe, She was the first person to get a college degree from her trial.
and she became the first female tribal chair, and she became the first female tribal chair.
and in the last ten years i would say we've gone on trips together," And in the last 10 years, I would say, we've gone on trips together."
and generally because as she's getting older she's in her eighties," And generally because as she's getting older, she's under 80."
so she lets me drive, So she lets me draw.
and we go to different events or different hearings in which she's going to offer testimony, and go to different events or different hearings in which she's going to offer testing.
and what i've learned from hanging out with this woman who's indomitable is the word i would use, What I've learned from hanging out with this woman who's indomitable was the word I would use.
she's around five, Yeah.
she doesn't see that well anymore, She doesn't see that well anymore.
she has trouble reading anymore, She has trouble reading anymore.
but she has me write speeches for her, But she has me write speeches for her.
she gets up and presents them, She gets up and presents th
and she refuses to to listen to the the response no," and she refuses to take, she refuses to listen to the response note."
which she will find a way to power on through, which is she will find a way to power on through.
and she gets things done that other people have not done, and she gets things done that other people have not done.
and why i see this as important is my own mother is very passive and very kind of meek and believes that you defer to men, And why I see this as important is my own mother is very passive and very kind of me and believes that you defer to men.
and hanging out with ada i have learned a great deal about what it means to be a powerful woman not to worry about if people are pissed off when you say something," and hanging out with Ada, I have learned a great deal about what it means to be a powerful woman, not to worry about if people are pissed off when you say something."
and just get up, and just get up.
and say your truth, say you're true.
and present your testimony, and present your testimony.
and push every lever that you can legally to be able to get things through that you wanna get through, and push every lever that you can legally to be able to get things through that you wanna get through.
so working with ada over the last couple of years we've been able to stop a mine from taking place which would've been sited on the banks of the menominee river which would've been really disastrous," So working with ADA over the last couple of years, we've been able to stop a mine from taking place, which would have been cited on the banks of the Monomene River, which would have been really just a"
so she has been my inspiration in terms of what i've learned from her, So she has been my inspiration in terms of what I've learned from her.
she's also really funny," Yeah, those are really fun."
so there's that's the other thing, So there's that's the other thing.
so yeah, Yeah.
she's been an ongoing source of importance for me i think to model myself after," You spend an ongoing source of importance for me, I think, to model myself after."
well i mean it looks like begins with a boy who's playing with a soccer ball," Well, I mean, it looks like it begins with a boy who's playing with a soccer ball."
and he's practicing on his own probably in his yard because this is something that he's really interested in doing, and he's just on his own probably in his yard because this is something and he's really interested in doing.
and he kicked the ball maybe a little bit too powerfully than he wanted, and he kicked the ball maybe a little bit too power powerfully than he wanted.
and it broke into the window next door, and it broke into the window next door.
and unfortunately he broke the window," And unfortunately, he broke the window."
and the ball came through the window right next to the chair where his next door neighbor a man is sitting on his chair," And the ball came through the window right next to the chair where his next door neighbor, a man is sitting on his chair."
so he's obviously really upset about this because he could have been hurt, So he's obviously really upset about this because he could have been hurt.
and the glass is broken, and the glasses broke.
and it's in his yard, and it's in his yard.
and it shouldn't have happened, it shouldn't have happened.
and so he grabs the chair looks out the window to find the culprit who did this to him," And so he grabs the chair, looks out the window to find the culprit who did this to him."
how is there going to be some kind of, How they're going to be some kind of.
he's gonna need some kind of reparations that are made an apology, going to need some kind of reparations that are made.
he looks like he's about ready to head over grab the boy and head over to the boy's parents to try to figure out how the window would be paid for how he would get his apology and the promise that the neighbor boy would never do the same thing again would stay away from the windows," he looks like he's about ready to head over, grab the boy, and head over to the boy's parents to try to figure out how the window would be paid for, how he would get his apology, and the promise that the neighbor boy would never do the same thing again, would stay away from the windows."
okay, Thank you.
well it looks as if this little," Well, it looks as if this little"
i'd say, I'd say.
actually it could be kind of," It's hard, actually it could be kind of..."
i can't decide if it's male or female, I can't decide if it's male or female.
we'll say theyq because perfect we're safe with theyq, day.
they is getting ready to head out to the library somewhere some trip somewhere," They are getting ready to head out to the library somewhere, some trip somewhere."
and their mother looked outside and said," And their mother looked outside and said,"
you know i think we're gonna see some rain, I think we're good to see some rain.
you might need the umbrella, You might need the umbrella.
but this child said," But this child said,"
i don't need an umbrella, don't need an umbrella.
i mean this is ridiculous," I mean, this is ridiculous."
it's not gonna rain, It's not going to rain.
and i don't really care about getting wet, and I don't really care about getting wet.
you know i don't melt," and oh, I don't."
i'm not like sugar, I'm not like sugar.
i don't melt when the water hits me, I don't melt when the water hits.
so this this child said, all this this child.
i'm leaving anyway, I'm leaving anyway.
this child went outside," Okay, this shows one on five."
immediately began to rain, immediately began to rain.
and all of a sudden said, all of a sudden said.
wait i'm getting raindrops in my eyes," I'm getting, I'm getting reindeer wraps in my eyes."
i'm getting really wet, I'm getting really wet.
this is not pleasant, This is not.
i didn't understand that it would be getting in my eyes, I didn't understand that what you're getting in my eyes.
so i immediately headed back because it was raining much harder than i thought it was, So I immediately headed back because it was raining much harder than I thought it was.
i walked in, walk down
said to my mother, said to my mother.
i just looked at her, I just looked at her.
she of course knew that i was right, She of course knew that I was right.
the mother immediately understood that while it was very difficult for this child to ask for it or to acknowledge that they were wrong, The mother immediately understood that while it was very difficult for this child to ask for it or to acknowledge that they were wrong.
they did make clear that they did indeed need an umbrella if they were gonna be walking to the library, They did make clear that they did indeed need an umbrella if they were going to be walking to a live room.
so the mother then gave them the umbrella, So the mother then gave them the umbrella.
and they went back on their way with an umbrella remembering at this point that maybe mothers actually know what they're talking about when they said that," and they went back on their way with an umbrella, remembering at this point that maybe mothers actually know what they're talking about."
okay, Thank you.
well what happened is that the cat that belongs to the little girl ran up in a tree and began to meow making very clear that it did want to get off the tree but no longer knew how to get back from the end of the branch that it had ended up on and was just meowing you know sadly saying," Well, what happened is that the cat that belongs to the little girl ran on a tree and began to meow, making very clear that it did want to get off the"
help me, help me.
help me, me.
and the little girl is obviously just really empathizing about the situation of her cat, and the little girl is obviously just really empathizing about the situation of her cat.
and she's very worried about getting her cat out, She's very worried about getting her cat up.
so she began by going to her father and said," So she began by going to her father and said,"
can you please help me get the cat out of the tree, Can you please help me get the cat out of the tree?
and the father said, and the bothersome
of course, course.
and he grabbed his ladder and put it against the tree and climbed up but could not get back up to the the the limb where the cat was because those branches are too fragile," and he grabbed his ladder and put it against the tree and climbed up, but could not get back up to the the limb where the hat was because those branches are too fragile."
he also inadvertently kicked off the ladder which then puts him back in a situation that he needs to be rescued," He also inadvertently kicked off the ladder, which then puts him back in a situation that he needs to be rescued."
so at this point the dog is now barking because the dog wants the father to get out of the tree," So at this point, the dog is now barking because the dog wants the father to get out of the tree."
the barking the dog of the dog is making it more difficult for the cat to be able to inch its way back down to the trunk, The barking of the door of the dog is making it more difficult for the cat to be able to inch its way back down to the trunk.
the little girl is still really really stressing because cat cat her cat is up in," Sorry, the little girl is still really, really stressing because her child, her child, her cat is up."
that's a semantic paraphasic error, And that's a semantic paraphasic error.
i make that all the time, make that all the time.
is really wants her cat to be able to get out, is really wants her cat to be able to get out.
so they call the fire department to come down and not just rescue the cat but also rescue the father since he now needs also to be rescued since his attempt at putting the ladder against the tree wasn't helpful," So they called the fire department to come down and not just rescue the cat, but also rescue the father since he now needs also to be rescued since his attempt at putting the ladder against the tree wasn't helpful."
but it it does absolutely shows that the father was really trying to do whatever his daughter wanted him to do in terms of helping get the cat out of the tree, But it does absolutely shows that the father was really trying to do whatever his daughter wanted him to do in terms of helping out the get the cat out of the tree.
i have, I have.
i'll keep the feminist critique out of it, I'll keep that feminist critique out of it.
that'll be next time around, I'll be next time around.
alright, Bye.
cinderella is she's the daughter of a widow," Cinderella is, she's the daughter of a widow."
her mother has has been killed," Her mother has killed, has been killed."
and so the two of them are living, And so the two of them are...
and the her father decides that it would be really helpful for his daughter if he remarried if he could provide a mother for his daughter cinderella," and the her father decides that it would be really helpful for his daughter if he remarried, if he could provide a mother for his daughter, Cinderella."
so he met this woman, So he met this.
i don't know that we've ever heard her name, I don't know that we've ever heard her name.
but anyways otherwise known as stepmother," But anyways, otherwise known as step."
made very clear that she would be a wonderful mother to cinderella, made very clear that she would be a wonderful mother to Cinderella.
she also had two daughters of her own, She also had two daughters of her own.
so they marry, They
and unfortunately the way that cinderella was treated was not appropriate, and unfortunately the way that some Cinderella was treated was not appropriate.
she was not treated the same way that the stepmother's daughters were treated, She was not treated the same way that the stepmother's daughters were treated.
and instead she was used as a maid, and instead she was used as a maid.
and and i have no idea where her father is in this whole picture and why he's not doing anything about this, And I have no idea where her father is in this whole picture and why he's not doing anything about this.
but maybe he's traveling or he's gone or whatever, But maybe he's traveling or he's gone or whatever.
but he's left the management of his daughter to this stepmother who treats her very badly doesn't treat her the same and has given the message to her daughters that it is fine to treat cinderella badly," but he's left the management of his daughter to this stepmother who treats her very badly, doesn't treat her the same, and has given the message to her daughters that it is fine to treat some Cinderella."
so she effectively becomes the maid to these two stepsisters and to a stepmother, So she effectively becomes the maid to these two stepsisters and to a step mother.
but she she's a a very very sweet young woman," But she still has, she's a very, very sweet young woman."
she's found a way to also have happiness and establish relationships with the animals because that's one of her jobs as a maid is to make sure that the animals are fed, She has found a way to also have happiness and establish relationships with the animals because that's one of her jobs as a maid is to make sure that the animals are fed.
so she sings to them, So she sings to the...
they love her, They love her.
she's close to the the the horses the other animals," She's close to the forces, the other animals."
and she dreams about being in a better situation where she's loved and is treated with more respect than she is, And she dreams about being in a better situation where she's loved and is treated with more respect than she is.
she's also quite beautiful which is certainly one of the reasons why the stepsisters are so mean to her because they are not anywhere near as attractive as she is," She's also quite beautiful, which is certainly one of the reasons why the step sisters are so mean to her because they are not anywhere near as attractive as she is."
but while this is going on in this household the king of the jurisdiction has made it clear to his son that it's time for him to marry because the king would like to retire," But while this is going on in this household, the king of the jurisdiction has made it clear to his son that it's time for him to marry because the king would like to retire."
and he'd like to hand down the kingdom to his son, and he'd like to hand down the kingdom to his son.
but first his son has to marry, but first his son has to marry.
and he doesn't really want to, and he doesn't really want to.
he's not interested in anyone, He's not interested in anyone.
he's not dating anyone, He's not dating anyone.
but the plan is that this is his duty, But the plan is that this is his duty.
and so he is kind of like the prince harry of that time, So it was kind of like the Prince Harry of that time.
the spare and not william, A spare and not William.
but in any case the plan is that there's gonna be a a giant ball a dance," But in any case, the plan is that there's going to be a giant ball, a dance."
and all of the eligible which i guess means of childbearing bearing bearing years are supposta show up at this dance so that he can pick the one that he wants," and all of the eligible, which I guess means of child bearing, bearing years, are supposed to show up at this dance so that he can pick the one that he wants."
and again we will not get into the feminist critique of how this all works," And again, we will not get into the feminist critique of how this all works."
but essentially the word gets out, Eventually the word gets out.
and the two stepsisters are just really excited about this idea because they're the right age, And the two steps sisters are just really excited about this idea because they're the right age.
because their mother had married cinderella's father who makes a fair amount of money they can dress really well," Because their mother had married Cinderella's father, who makes a fair amount of money, they can dress really well."
they can really get dressed up to go to this dance and see if they could be the one that would attract the the attention of the prince, they can really get dressed up to go to this dance and see if they could be the one that would attract the attention of the prince.
cinderella wants to go, of Cinderella.
she also reads about this that that it's coming, She also reads about this that is coming.
and that she knows she's eligible because she's the right age, and that she knows she's eligible because she's the right age.
and i guess she's of that nationality or whatever criteria they're using, and I guess she's of that nationality or whatever criteria they're using.
but her stepmother kind of makes clear that no she she's not invited to go," But her stepmother kind of makes clear that no, she's not invited to go."
she's not gonna be able to go to stores and buy clothes the way that her daughters will, She's not going to be able to go to stores and buy clothes the way that we will.
so she tries to make something on her own, So she tries to make something on her own.
she tries to take the materials and the rags that are available to her, She tries to take the materials and the rags that are available to her.
she looks up how to make them in a book, She looks at how to make them in a local way.
that was on page eleven, I was on page 11.
i think that's what was going on there, I think that's what was coming.
and she comes up with a dress, And she comes up with a dress.
and of course she looks amazing in it," And of course, she looks amazing in it."
if this were pretty in pink the film with molly ringwald she'd have gotten away with it," I guess we're pretty in pink. The film with um, um, Ringhald, um, Wabble, um, she had got away with it."
but this is not pretty in pink, This is not...
this is cinderella, This is Cinderella.
so her mother laughs at her and says," So her mother laughed at her and said,"
you're not going out with those clothes, not going out with those clothes.
and her stepsisters mock her, and her stepsisters mock her.
and she's out in the barn by herself, she's out in the barn by herself.
and all of a sudden this fairy godmother shows up based on one of her wishes, And all of a sudden this fairy godmother shows up based on one of her wishes.
i wish i could go to the ball, I wish I could go to the ball.
and she the reason that the fairy fairy godmother is showing up is because she knows that cinderella is a really sweet young girl, And the reason that the fairy godmother is showing up is because she knows that Cinderella is a really sweet young girl.
and she cares about everybody else, and she cares about everybody else.
and she does things for everybody else, She does things for everybody else.
and because of the purity of her heart she deserves this chance," and because of the purity of her heart, she deserves this chance."
so she uses her magical powers, she uses her magical powers.
and she not only creates a dress for her that is incredibly ornate, And she not only creates a dress for her that is incredibly or not.
she can go to the oscars with something like that, can go to the Oscars with something.
but she also transforms the mice into horses and the pumpkin into a carriage to be able to take her so that she can get there, But she also transforms the mice into horses and the pumpkin into carriage to be able to take her so that she can get there.
and she can arrive in style, and she can arrive in style.
so cinderella is very very happy hugs her," So Cinderella is very, very happy, hugs her."
and her godmother said, or grandmother said.
but remember this dream will only last until midnight, Remember this only will last. This dream will only last until midnight.
at midnight your dress will go back to your rags," at midnight, your dress will go back to your rag."
your horses will be transformed back into mice, your forces will be transferred back into the world.
and the carriage will be transformed back into a pumpkin, and the coach will be or the carriage will be transformed back into a pumpkin.
and she says," And she said,"
yes i know, I know.
thank you very much, Thank you very much.
so she heads to the the ball," of she heads to the, the,"
and of course because she is so elegantly attired and shows up with this really regal type of carriage she's treated as royalty herself," And of course, because she is so elegantly attired and shows up with this really regal type of carriage, she's treated as royalty herself."
she the footman opens the door," She, the footman opens the door."
they help her out, help her out.
she walks in there, She walks in there.
and immediately the prince just like, immediately the prince just like.
it's like that, like that.
it's like he's been struck by lightning, like he's been struck by lightning.
she's the one i want to be with, She's the one I want to be with.
and he heads over to her, me heads over to her.
and there's an instant attraction, innocent. Instant.
he dances with her the entire night, He dances with her the entire night.
he's pretty clear that maybe at this point marriage isn't the worst thing in the world if i get to be with this woman, He's pretty clear that maybe at this point marriage isn't the worst thing in the world if I get to be with this one
and and all of a sudden at this point she's pulling away," And he's, and all of a sudden at this point, she's pulling away."
and she's saying, she's saying.
no i gotta go, I gotta go.
and he's going, he's going.
no no stick around," No, no, stick around."
we've got food, Got food.
you can stay here all night, and see you all next time.
and she said, And she said
no i've gotta get back, I gotta get back
i've gotta go, I've gotta go.
and she runs away at about two or three minutes to midnight because her she says, she runs away at about two or three minutes to midnight because she says
i've got this curfew, I've got this curfew.
and i've gotta get away, I'm not gonna win.
and she races away, and she raises away.
and she's a really fast runner," And all of a sudden she's, I mean, she's a really fast."
so she's away, So she's a.
but all of a sudden he sees that one of her shoes has been left there," way, but all of a sudden he sees that one of her shoes has been left there."
a glass slipper, a glass slipper.
and so he picks that up, And so we picked that up.
that's all he is got of her is this glass slipper, all he's got of her is this glass slipper.
so he goes back to his father and said," So he goes back to his father and says,"
okay i'll marry somebody, I'll marry somebody.
but there's only one woman i wanna marry, there's only one woman I want to marry.
and she's the one i wanna marry, and she's the one I want to marry.
and all i have is this clue that her foot will fit into this slipper, And all I have is this clue that her foot will fit into this.
so they start advertising around the kingdom, They start advertising around the kingdom.
anyone whose feet will fit into these slippers the prince will sees you as a contender, one that can whose feet will fit into these slippers. The prince will see who was a contender.
so my god all the step stepsisters who you know they were ignored at the ball," So, all the step sisters who, you know, they were ignored at the ball."
but they are pretty sure they can get their feet into this slipper, but they're pretty sure they can get their feet into this slip.
they may be one of the contenders, He wanted the contender.
and and of course at this point cinderella's back doing her work taking care of the animals cleaning in the kitchen once again just discarded and ignored and mocked and treated disrespectfully by her family," So he's, and of course at this point, Cinderella's back doing her work, taking care of the animals, cleaning in the kitchen, once again, just discarded and ignored and mocked and treated disrespectfully by her family."
so the prince starts driving around, So the print starts driving around.
and i mean it's this really bizarre sort sort of thing that he's driving around," I mean, it's this really bizarre sort of thing that he's driving around."
and people are running out taking off their shoes and seeing if their feet will fit into this slipper which is apparently designed specifically to fit this one single woman," people are running out taking off their shoes and seeing if their feet will fit into this slipper, which is apparently designed specifically to fit this one single one."
and he stops at their house, and he hands up and he stops at their house.
and he is really discouraged at this point because he hasn't yet found the woman whose feet will fit into that slipper, and he's really discouraged this point because he hasn't yet found a woman whose feet will fit into that slipper.
he stops at this house, He stops at this house.
