reference_transcriptions,generated_transcriptions
she was the oldest in a family of eleven, She was the oldest in a family of 11.
she grew up on the menominee reservation without running water, She grew up on the Menominee Reservation without running water.
she was the first person to get a college degree from her tribe, She was the first person to get a college degree from her tribe.
and she became the first female tribal chair, and she became the first female tribal chair.
and in the last ten years i would say we've gone on trips together," And in the last 10 years, I would say, we've gone on trips together."
and generally because as she's getting older she's in her eighties," generally because as she's getting older, she's under 80."
so she lets me drive, So she lets me draw.
and we go to different events or different hearings in which she's going to offer testimony, and go to different events or different hearings in which she's going to offer tests.
and what i've learned from hanging out with this woman who's indomitable is the word i would use," And what I've learned from hanging out with this woman, who's indomitable is the word I would use,"
she's around five, Yeah.
she doesn't see that well anymore, She doesn't see that well anymore.
she has trouble reading anymore, has trouble reading anymore.
but she has me write speeches for her, But she has me write speeches for her.
she gets up and presents them, She gets up and presents them.
and she refuses to to listen to the the response no, and she refuses to listen to the response no.
which she will find a way to power on through, which is she will find a way to power on through
and she gets things done that other people have not done, And she gets things done that other people have not done.
and why i see this as important is my own mother is very passive and very kind of meek and believes that you defer to men, And why I see this as important is my own mother is very passive and very kind of me and believes that you defer to men.
and hanging out with ada i have learned a great deal about what it means to be a powerful woman not to worry about if people are pissed off when you say something," And hanging out with Ada, I have learned a great deal about what it means to be a powerful woman, not to worry about if people are pissed off when you say something."
and just get up, and just get up and go.
and say your truth, and say your truth.
and present your testimony, present your testimony
and push every lever that you can legally to be able to get things through that you wanna get through, and push every lever that you can legally to be able to get things through that you want to get through.
so working with ada over the last couple of years we've been able to stop a mine from taking place which would've been sited on the banks of the menominee river which would've been really disastrous," So working with Ada over the last couple of years, we've been able to stop a mine from taking place, which would have been sited on the banks of the Menominee River, which would have been really disaster."
so she has been my inspiration in terms of what i've learned from her, So she has been my inspiration in terms of what I've learned from her.
she's also really funny, Yeah. Those are really fun.
so there's that's the other thing, So that's the other thing.
so yeah," So yeah,"
she's been an ongoing source of importance for me i think to model myself after," She's been an ongoing source of importance for me, I think, to model myself after."
well i mean it looks like begins with a boy who's playing with a soccer ball," Well, I mean, it looks like begins with a boy who's playing with a soccer ball."
and he's practicing on his own probably in his yard because this is something that he's really interested in doing," and he's practicing on his own, probably in his yard, because this is something that he's really interested in doing."
and he kicked the ball maybe a little bit too powerfully than he wanted, And he kicked the ball maybe a little bit too powerfully than he wanted to.
and it broke into the window next door, And it broke into the window next door.
and unfortunately he broke the window," And unfortunately, he broke the window"
and the ball came through the window right next to the chair where his next door neighbor a man is sitting on his chair," And the ball came through the window right next to the chair where his next door neighbor, a man, is sitting on his chair."
so he's obviously really upset about this because he could have been hurt, So he's obviously really upset about this because he could have been hurt.
and the glass is broken, and the glass is broken.
and it's in his yard, It's in his guilt.
and it shouldn't have happened, It shouldn't have happened.
and so he grabs the chair looks out the window to find the culprit who did this to him," And so he grabs the chair, looks out the window to find the culprit who did this to him."
how is there going to be some kind of," How is there going to be some kind of,"
he's gonna need some kind of reparations that are made an apology," going to need some kind of reparations that are made, an apology."
he looks like he's about ready to head over grab the boy and head over to the boy's parents to try to figure out how the window would be paid for how he would get his apology and the promise that the neighbor boy would never do the same thing again would stay away from the windows," He looks like he's about ready to head over, grab the boy and head over to the boy's parents to try to figure out how the window would be paid for, how he would get his apology. And the promise that the neighbor boy would never do the same thing again, would stay away from the windows."
okay, Yeah.
well it looks as if this little," Well, it looks as if this little"
i'd say," I would say,"
actually it could be kind of," It's hard to actually, it could be kind of."
i can't decide if it's male or female, I can't decide if it's male or female.
we'll say theyq because perfect we're safe with theyq, We're still the same thing.
they is getting ready to head out to the library somewhere some trip somewhere, they is getting ready to head out to the library somewhere some trip somewhere
and their mother looked outside and said," And their mother looked outside and said,"
you know i think we're gonna see some rain, I think we're going to see some rain.
you might need the umbrella, you might need the umbrella.
but this child said," But this child said,"
i don't need an umbrella, I don't need an umbrella.
i mean this is ridiculous," I mean, this is ridiculous."
it's not gonna rain, It's not going to rain.
and i don't really care about getting wet, I don't really care about getting wet.
you know i don't melt," You know, I don't."
i'm not like sugar, I'm not like sugar.
i don't melt when the water hits me, I don't melt when the water hits me.
so this this child said," So this child,"
i'm leaving anyway, I'm leaving anyway.
this child went outside, Just tell us what I thought.
immediately began to rain, immediately began to rain.
and all of a sudden said," all of a sudden said,"
wait i'm getting raindrops in my eyes, I'm getting raindrops in my eye.
i'm getting really wet, I'm getting really wet.
this is not pleasant, This is not...
i didn't understand that it would be getting in my eyes, I didn't understand what he was getting in my eye.
so i immediately headed back because it was raining much harder than i thought it was, So I immediately headed back because it was raining much harder than I thought it was
i walked in, I'm locked in.
said to my mother," said to my mother,"
i just looked at her, I just looked at her.
she of course knew that i was right," She, of course, knew that I was right."
the mother immediately understood that while it was very difficult for this child to ask for it or to acknowledge that they were wrong, the mother immediately understood that while it was very difficult for this child to ask for it or to acknowledge that they were wrong
they did make clear that they did indeed need an umbrella if they were gonna be walking to the library, They did make clear that they did indeed need an umbrella if they were going to be walking to the library.
so the mother then gave them the umbrella, So the mother then gave them the umbrella
and they went back on their way with an umbrella remembering at this point that maybe mothers actually know what they're talking about when they said that," and they went back on their way with an umbrella, remembering at this point that maybe mothers actually know what they're talking about when they say it."
okay, Yeah.
well what happened is that the cat that belongs to the little girl ran up in a tree and began to meow making very clear that it did want to get off the tree but no longer knew how to get back from the end of the branch that it had ended up on and was just meowing you know sadly saying," Well, what happened is that the cat, the cat that belongs to the little girl, ran up in a tree and began to meow,"
help me, help me.
help me, me.
and the little girl is obviously just really empathizing about the situation of her cat, And the little girl is obviously just really empathizing about the situation of her cat
and she's very worried about getting her cat out, She's very worried about getting her cat out.
so she began by going to her father and said," So she began by going to her father and said,"
can you please help me get the cat out of the tree, can you please help me get the cat out of the tree?
and the father said," and the father said,"
of course, Horse.
and he grabbed his ladder and put it against the tree and climbed up but could not get back up to the the the limb where the cat was because those branches are too fragile," And he grabbed his ladder and put it against the tree and climbed up, but could not get back up to the limb where the cat was because those branches are too fragile."
he also inadvertently kicked off the ladder which then puts him back in a situation that he needs to be rescued," He also inadvertently kicked off the ladder, which then puts him back in a situation that he needs to be rescued."
so at this point the dog is now barking because the dog wants the father to get out of the tree," So at this point, the dog is now barking because the dog wants the father to get out of the tree."
the barking the dog of the dog is making it more difficult for the cat to be able to inch its way back down to the trunk, The barking of the door of the dog is making it more difficult for the cat to be able to inch its way back down to the trunk.
the little girl is still really really stressing because cat cat her cat is up in," Sorry, the little girl is still really, really stressing because her child, her cat is up in the air."
that's a semantic paraphasic error, That's a semantic paraphysic error.
i make that all the time, make that all the time.
is really wants her cat to be able to get out, is really wants her cat to be able to get out
so they call the fire department to come down and not just rescue the cat but also rescue the father since he now needs also to be rescued since his attempt at putting the ladder against the tree wasn't helpful," So they called the fire department to come down and not just rescue the cat, but also rescue the father, since he now needs also to be rescued, since his attempt at putting the ladder against the tree wasn't helpful."
but it it does absolutely shows that the father was really trying to do whatever his daughter wanted him to do in terms of helping get the cat out of the tree, But it does absolutely shows that the father was really trying to do whatever his daughter wanted him to do in terms of helping out the get the cat out of the tree.
i have, I have.
i'll keep the feminist critique out of it, I'll keep the feminist critique out a bit.
that'll be next time around, I'll be next time around
alright, Right.
cinderella is she's the daughter of a widow," I'm going to go ahead and start with the first one. So, Cinderella is. She's the She's the daughter of"
her mother has has been killed, Her mother has been killed.
and so the two of them are living, And so the two of them are...
and the her father decides that it would be really helpful for his daughter if he remarried if he could provide a mother for his daughter cinderella," and her father decides that it would be really helpful for his daughter if he remarried, if he could provide a mother for his daughter, Cinder"
so he met this woman, So he met this...
i don't know that we've ever heard her name, I don't know that we've ever heard
but anyways otherwise known as stepmother," But anyways, otherwise known as step one."
made very clear that she would be a wonderful mother to cinderella, made very clear that he would be that she would be a wonderful mother to cinderella
she also had two daughters of her own, She also had two daughters of her own.
so they marry, they they
and unfortunately the way that cinderella was treated was not appropriate," And unfortunately, the way that Cinderella was treated was not appropriate."
she was not treated the same way that the stepmother's daughters were treated, She was not treated the same way that the stepmother's daughters were treated.
and instead she was used as a maid, and instead she was used as a maid.
and and i have no idea where her father is in this whole picture and why he's not doing anything about this, And I have no idea where her father is in this whole picture and why he's not doing anything about this.
but maybe he's traveling or he's gone or whatever, but maybe he's traveling or he's gone or whatever.
but he's left the management of his daughter to this stepmother who treats her very badly doesn't treat her the same and has given the message to her daughters that it is fine to treat cinderella badly," but he's left the management of his daughter to this stepmother who treats her very badly, doesn't treat her the same, and has given the message to her daughters that it is fine to treat Cinderella"
so she effectively becomes the maid to these two stepsisters and to a stepmother, So she effectively becomes the maid to these two stepsisters and to a stepmother.
but she she's a a very very sweet young woman," But she still has, she's a very, very sweet young woman."
she's found a way to also have happiness and establish relationships with the animals because that's one of her jobs as a maid is to make sure that the animals are fed," She has found, she's found a way to also have happiness and establish relationships with the animals because that's one of her jobs as a maid is to make sure that the animals"
so she sings to them, So she sings to them.
they love her, They love her.
she's close to the the the horses the other animals," She's close to the horses, the other animals."
and she dreams about being in a better situation where she's loved and is treated with more respect than she is, And she dreams about being in a better situation where she's loved and is treated with more respect than she is.
she's also quite beautiful which is certainly one of the reasons why the stepsisters are so mean to her because they are not anywhere near as attractive as she is," She's also quite beautiful, which is certainly one of the reasons why the stepsisters are so mean to her, because they are not anywhere near as attractive as she is."
but while this is going on in this household the king of the jurisdiction has made it clear to his son that it's time for him to marry because the king would like to retire," But while this is going on in this household, the king of the jurisdiction has made it clear to his son that it's time for him to marry because the king would like to retire."
and he'd like to hand down the kingdom to his son, and he'd like to hand down the kingdom to his son.
but first his son has to marry, But first his son has to marry.
and he doesn't really want to, And he doesn't really want to.
he's not interested in anyone, He's not interested in anyone.
he's not dating anyone, He's not dating anyone.
but the plan is that this is his duty, But the plan is that this is his duty.
and so he is kind of like the prince harry of that time, So he's kind of like the Prince Harry of that time.
the spare and not william, A spare and not William.
but in any case the plan is that there's gonna be a a giant ball a dance," But in any case, the plan is that there's going to be a giant ball, a dance,"
and all of the eligible which i guess means of childbearing bearing bearing years are supposta show up at this dance so that he can pick the one that he wants," And all of the eligible, which I guess means of child bearing years, are supposed to show up at this dance so that he can pick the one that he wants."
and again we will not get into the feminist critique of how this all works," And again, we will not get into the feminist critique of how this all works."
but essentially the word gets out," Essentially, the word gets out."
and the two stepsisters are just really excited about this idea because they're the right age, And the two stepsisters are just really excited about this idea because they're the right
because their mother had married cinderella's father who makes a fair amount of money they can dress really well," because their mother had married Cinderella's father who makes a fair amount of money, they can dress really well."
they can really get dressed up to go to this dance and see if they could be the one that would attract the the attention of the prince, They can really get dressed up to go to this dance and see if they could be the one that would attract the attention of the prince.
cinderella wants to go, Cinderella wants to go.
she also reads about this that that it's coming, She also reads about this that is coming
and that she knows she's eligible because she's the right age, that she knows she's eligible because she's the right age.
and i guess she's of that nationality or whatever criteria they're using, I guess she's of that nationality or whatever criteria they're using.
but her stepmother kind of makes clear that no she she's not invited to go," But her stepmother kind of makes clear that, no, she's not invited to go."
she's not gonna be able to go to stores and buy clothes the way that her daughters will, she's not going to be able to go to stores and buy clothes the way that we all will.
so she tries to make something on her own, So she tries to make something on her own.
she tries to take the materials and the rags that are available to her, she tries to take the materials and the rags that are available
she looks up how to make them in a book, She looks up how to make them in a book.
that was on page eleven, I was on page 11.
i think that's what was going on there, I think that's what was going on.
and she comes up with a dress, And she comes up with a dress
and of course she looks amazing in it, And of course she looks amazing.
if this were pretty in pink the film with molly ringwald she'd have gotten away with it, I guess we're pretty in pink. The film with Molly Ringhold. Walled. She had gotten away with it.
but this is not pretty in pink, This is not...
this is cinderella, This is Cinderella.
so her mother laughs at her and says," So her mother laughs at her and says,"
you're not going out with those clothes, not going out with those clothes.
and her stepsisters mock her, and her stepsisters mock her
and she's out in the barn by herself, she's out in the barn by her
and all of a sudden this fairy godmother shows up based on one of her wishes," And all of a sudden, this fairy godmother shows up based on one of her wishes."
i wish i could go to the ball, I wish I could go to the ball.
and she the reason that the fairy fairy godmother is showing up is because she knows that cinderella is a really sweet young girl," And she, the reason that the hairy, sorry, fairy godmother is showing up is because she knows that Cinderella is a really sweet young girl."
and she cares about everybody else, and she cares about everybody else
and she does things for everybody else, She does things for everybody else.
and because of the purity of her heart she deserves this chance," And because of the purity of her heart, she deserves this chance."
so she uses her magical powers, she uses her magical power
and she not only creates a dress for her that is incredibly ornate," And she not only creates a dress for her that is incredibly ornate,"
she can go to the oscars with something like that, She can go to the Oscars with something like that.
but she also transforms the mice into horses and the pumpkin into a carriage to be able to take her so that she can get there, But she also transforms the mice into horses and the pumpkin into a carriage to be able to take her so that she can get there.
and she can arrive in style, and she can arrive in style.
so cinderella is very very happy hugs her," So Cinderella is very, very happy, hugs her."
and her godmother said, or grandmother said
but remember this dream will only last until midnight, remember this only will last. This dream will only last until midnight.
at midnight your dress will go back to your rags," At midnight, your dress will go back to your rag."
your horses will be transformed back into mice," your horses will go back, will be transferred back into the"
and the carriage will be transformed back into a pumpkin, and the coach will be or the carriage will be transformed back into a pumpkin.
and she says," And she said,"
yes i know, I know.
thank you very much, Thank you very much.
so she heads to the the ball, So she heads to the
and of course because she is so elegantly attired and shows up with this really regal type of carriage she's treated as royalty herself," And of course, because she is so elegantly attired and shows up with this really regal type of carriage, she's treated as royalty herself."
she the footman opens the door," She, the footman, opens the door"
they help her out, I help her out.
she walks in there, She walks in.
and immediately the prince just like, immediately the prince just like
it's like that, like that.
it's like he's been struck by lightning, like he's been struck by lightning
she's the one i want to be with, She's the one I want to be with.
and he heads over to her, He heads over to her.
and there's an instant attraction, Anderson. Instant
he dances with her the entire night, He dances with her the entire night
he's pretty clear that maybe at this point marriage isn't the worst thing in the world if i get to be with this woman, He's pretty clear that maybe at this point marriage isn't the worst thing in the world if I get to be with this woman
and and all of a sudden at this point she's pulling away," And he's, and all of a sudden at this point, she's pulling away."
and she's saying, she's saying
no i gotta go, I got to go.
and he's going, he's going
no no stick around," no, no, stick around."
we've got food, We've got food.
you can stay here all night, going to stay your own
and she said, Yeah.
no i've gotta get back, I've got to get back.
i've gotta go, Gotta go.
and she runs away at about two or three minutes to midnight because her she says, And she runs away at about two or three minutes to midnight because she's
i've got this curfew, I've got this curfew.
and i've gotta get away, and I gotta go to win.
and she races away, and she races away.
and she's a really fast runner," And all of a sudden she's, I mean, she's a really fast"
so she's away, thought she's a
but all of a sudden he sees that one of her shoes has been left there," way, but all of a sudden he sees that one of her shoes has been left there."
a glass slipper, a glass slipper
and so he picks that up, And so he picks that up.
that's all he is got of her is this glass slipper, all he's got of her is this glass slipper.
so he goes back to his father and said," So he goes back to his father and says,"
okay i'll marry somebody, I'll marry somebody.
but there's only one woman i wanna marry, there's only one woman I want to marry.
and she's the one i wanna marry, and she's the one I want to marry.
and all i have is this clue that her foot will fit into this slipper, And all I have is this clue that her foot will fit into this
so they start advertising around the kingdom, They start advertising around the kingdom.
anyone whose feet will fit into these slippers the prince will sees you as a contender," one whose feet will fit into these slippers, the prince will see you as a contender."
so my god all the step stepsisters who you know they were ignored at the ball," So all the step-sisters who, you know, they were ignored at the ball."
but they are pretty sure they can get their feet into this slipper, but they pretty sure they can get their feet into this slip
they may be one of the contenders, be one of the contenders.
and and of course at this point cinderella's back doing her work taking care of the animals cleaning in the kitchen once again just discarded and ignored and mocked and treated disrespectfully by her family," So he's, of course, at this point, Cinderella's back doing her work, taking care of the animals, cleaning in the kitchen. Once again, just discarded and ignored and mocked and treated disrespectfully by her"
so the prince starts driving around, So the print starts driving around
and i mean it's this really bizarre sort sort of thing that he's driving around," I mean, it's this really bizarre sort of thing that he's driving around."
and people are running out taking off their shoes and seeing if their feet will fit into this slipper which is apparently designed specifically to fit this one single woman," people are running out, taking off their shoes, and seeing if their feet will fit into this slipper, which is apparently designed specifically to fit this one single woman."
and he stops at their house, And he hands up and he stops at their house
and he is really discouraged at this point because he hasn't yet found the woman whose feet will fit into that slipper, he's really discouraged at this point because he hasn't yet found a woman whose feet will fit into that slip.
he stops at this house, stops at this house.
both of the stepsisters do everything they can, Both of the stepsisters do everything they can
but their feet are just too big or too long or," that their feet are just too big or too long or,"
it's not working, It's not working.
and then all of a sudden," and then all of a sudden, uh,"
he's just about ready to leave, He's just about ready to leave
and all of a sudden he sees a movement, all of a sudden he sees a movement
and he sees this other woman the maid who's just in the corner," And he sees this other woman, like the maid, who's just in the corner."
and he said," And he said,"
what about her, What about her?
and the stepmother said," And the stepmother said,"
no she's nobody," No, she's no,"
she's our maid, She's our maid.
and she looks up, And she looks up.
and he the prince just has this strange feeling about her and said," And he, the prince just has this strange feeling about her."
i'd like to have her come out, I'd like to have her come out.
and i'd like to see if if the slippers will fit her feet," and I'd like to see if her feet will, if the slippers will fit her feet."
and so she comes out, And so she comes out.
and she's a mess, She's a mess.
you know she's been working in the kitchen and in the barn," You know, she's been working in the kitchen and in the barns."
and she's you know not not looking anywhere like the princess person that had been at the ball, she's not looking anywhere like the princess person that had been at the ballpark.
but she came out, but she came out
she sat down, She sat down.
the prince put the slipper on her foot, The prince put the slipper on her foot
and it fit, it fit
and then he looked at her, And then he looked at her.
and what was remarkable is that he was able to look beyond all of the pageantry of the royalty of the wealth that she had shown the first time he'd met her to see that it was exactly the same person even if she was clearly not of the same status he that he had assumed initially," And what was remarkable is that he was able to look beyond all of the pageantry of the royalty, of the wealth that she had shown the first time he'd met her to see that it was exactly the same person, even if she was clearly not of the same status that he had assumed initially."
so they lived happily after until just like prince harry somehow the paparazzi did not like this cinderella because she was not of high enough status," So they lived happily after until, just like Prince Harry, somehow the paparazzi did not like the Cinderella because she was not of high enough status."
and he hadta renounce his crown and go to another continent and then start writing producing netflix netflix netflix films about his situation to make money," and they had to, he had to renounce his crown and go to another continent and yeah, and then start writing, producing Netflix films about his situation to make money."
alright alright, All right.
the end yeah, Yeah.
okay, Okay.
clock clock, Fuck.
an interesting really irritating thing about clocks to me recently is that i went to a physical checkup," I mean, interesting, really irritating thing about clocks to me recently is that I went to a physical checkout"
and i had just turned sixty five, And I had just turned 65.
and so i had never experienced this before, So I had never experienced this before.
i thought it was annual my annual physical checkup, I thought it was my annual physical
i walked in the room, I walked in the room.
and i sat down, And I sat down.
and the nurse is checking my blood pressure, the nurse is checking my blood pressure
and she's checking you know the my heart rate my pulse and all the other stuff," She's checking, you know, my heart rate, my pulse and all the other stuff."
and then she handed me a piece of paper and a pen and said," And then she handed me a piece of paper and a pen and said,"
i'd like you to draw a clock, I'd like you to draw a clock.
and i said," I said,"
and she said," And she said,"
because i i want to see what kind of picture you you can draw, because I want to see what kind of picture you can draw.
so it seemed ridiculous, so it seemed ridiculous
but i did it anyway, I did it anyway.
i drew the circle, I do the circles.
and i knew how to draw a picture appropriately with a clock which is first you put down the twelve," And I knew how to handle, how to draw a picture appropriately with a clock, which is first you put down the 12"
and then you put down the six, and then you put down the six.
then you put the three, you put three
and then you put the nine, and then you put the knot in
and then you fill in the numbers so that everything is located where it should be instead of you know having them too crowded, and then you fill in the numbers so that everything is located where it should be instead of having them too crowded.
and then i hadta draw the pictures of two forty five, And then I had to draw the pictures of 245.
and i finished it, And I finished it.
and i said," and I just said,"
now is this what you wanted, Is this what you want?
or did you want to just look at what you have on the wall that's right there which is a clock," Or did you want to just look at what you have on the wall that's right there,"
and she said," And she said,"
well you have passed this test, you have passed this test.
and she said, and she's
this is essentially a dementia test, is essentially a dementia test.
wow that when you're sixty five and when you go to see an appointment for an annual check you will hafta draw a clock," that when you are 65 and you go in for a physician, sorry, when you go to see an appointment for an annual check, you will have to draw a clock."
and i said," And I said,"
at one point will they stop doing this," At one point, will they stop doing this?"
because while i did indeed grow up with the you know the round clock i use digital," because while I did indeed grow up with the, you know, the round sock, right, you use ditch"
everything i do is digital, Everything I do is digital.
so at what generation will they decide that this is not the way to show that you do not have dementia or beginning dementia or whatever and that you simply have a digital understanding of of what time is," So what happens at what generation will they decide that this is not the way to show that you do not have dementia or beginning dementia or whatever, and that you simply have a digital understanding of what time is."
so anyway if i do it i'm not gonna do it again," Anyway, if I do it, I'm not going to do it again."
maybe i'll just mess with them and just put down some digital stuff and and see what they do with that, I'm just going to maybe I'll just mess with them and just put down some digital stuff and see what they do.
and i'll have my ppa or something like bruce willis, I have my PPA or something like Bruce Willis.
but anyway it's a test that they do," But anyway, it's a test that they do."
and i found it really irritating though i passed," and I found it really irritating, though I passed."
but the it's it's gonna be obsolete very very quickly," But it's going to be obsolete very, very quickly."
so yep yeah, Yep. Yep.
let me see, Let me see.
one of the things i useta do when my daughter was younger is every january usually the first week in january we would head together to watch the eagle watch," One of the things I used to do when my daughter was younger is every January, usually the first week in January, we would head together to watch the Eagle Watch."
and what the eagle watch was is north of here on the wisconsin river there's one place that in january the eagles are on the way somewhere else," And what the Eagle Watch was is north of here, the Wisconsin River, there's one place that in January, the eagles are on the way somewhere else."
so they're coming back, they're coming back.
they're going south or something, they're going south or something.
but they all show up in this lake for about three or four days, but they all show up in this lake for about three or four days.
and so what people do is they have groups the audubon society and other groups that show up with binoculars," And so what people do is they have groups, the Audubon Society and other groups that show up with, you know,"
and we watch the the birds the eagles because you can see them," And we watch the birds, the eagles, because you can see"
you can get really really close," to get really, really close."
and you can see the eaglets, you can see the E
and you can see them with their mother," and you can see them with their mother,"
and and there's just so many of them at one time, and there's just so many of them at one time.
in wisconsin we have a lot of hawks," In Wisconsin, we have a lot of hawks."
but we don't necessarily see bald eagles as much, but we don't necessarily see bald eagles as much.
it's much more rare, It's much more rare.
so that's something that we did for a number of years, And that's something that we did for a number of years.
even when she was thirteen and wasn't really talking to me anymore, even when she was 13 and wasn't really talking to me anymore.
we always had fun on that day, We always had fun on that day.
we would show up, We would show up.
we'd first you'd dressed really really warm because it's gonna be twenty below," First, you dress really, really warm because it's going to be 20 below"
we would go to the banks with binoculars, We would go to the banks with binoculars.
we would wait for the eagles to show up, We would wait for the eagles to show up.
we would watch them for a while, We would watch them for a while.
and then we would go have hot cocoa, and we would go have hot cocoa
and she would talk to me during that timeframe, And she would talk to me during that time
when we were home then it was like," when we were home, that it was like,"
oh god she's my mother," God, she's my mother."
i'm not talking, I'm not talking about.
phone and talk to my friends, I want to talk to my friends.
but there was always that one period even in those very very difficult early teen years that my daughter always talked to me after we watched the eagles," But there was always that one period, even in those very, very difficult early teen years, that my daughter would always talk to me after we watched The Eagles."
so that's one of the things that i would think of when i think of the word birdq, So that's one of the things that I would think of when I think of the word bird.
wait what was the word again, What was the word again?
oh i don't know if you wanna hear that story, I don't know if you want to hear that story. I'm sorry.
no, Oh.
well i okay," Sorry. Well, OK."
i can tell you a a recent one that will clearly not be rated rl or anything like that because really when you start getting that one it could be way more interesting," I can tell you a recent one that will clearly not be rated R or anything like that. Because really, when you start getting that one, it could be way more interesting."
i will talk about something i did last summer which has been since my stroke i've been trying to push myself a little bit," I will talk about something I did last summer, which is since my stroke, I've been trying to push myself a little bit"
and again i'm i'm much more tired than i useta be," And again, I'm much more tired than I used to be."
but i'm still trying to push my boundaries to find out exactly what's possible, but I'm still trying to push my boundaries to find out exactly what's possible
and how much can i do, and how much can I do?
and how long can i drive, and how long can I drive?
and how many hours a day can i you know be active, and how many hours a day can I be active?
and so i worked with this nonprofit, And so I worked with this nonprofit
and we were having a event in northern wisconsin off the menominee reservation, And we were having an event in northern Wisconsin off the Menominee Reservation.
it's our our group is called waking women healing institute," It's a, our group is called Waking"
we deal with mmiw issues, do with MMIW issues.
so i head up for this wellness event, So I head up to this wellness event.
and i hadta get up, I had to get up.
i think i left town at five to get up there by eight, I think I left town at five to get up there by eight.
we had events all day long and talking and you know different things going on, We had events all day long and talking and different things going on.
and it was really really hot," It was really, really hot."
and i was ready to drive home by five o'clock, And I was ready to drive home by five o'clock.
and about an hour on the way home, about an hour on the way
this is about a three and a half hour trip," about three and a half hour, a three and a half hour trip."
i decided i can't drive anymore today, I decided I can't drive anymore today.
my head was just pounding, My head was just...
i needed to sleep really really quickly," I needed to sleep really, really quickly."
and i've learned to listen to myself, I've learned to listen to myself.
if my body says you're tired you pull over and you rest, My body says you're tired. You pull over and you rest.
you don't just power on through drink some coffee and you know keep on going," You don't just like run through, drink some coffee and keep on going."
so i pulled into this hotel, So I pulled into this hotel.
and luckily i found one, Luckily I found one
i you know i didn't have a reservation or anything, I didn't have a reservation or anything
i was just looking for a place that had openings so i could go in and get out of the sun and you know cover my eyes and not hafta drive anymore," I was just looking for a place that had an opening so I could go in and get out of the sun and, you know, cover my eyes and not have to drive anymore."
but because i was as tired as i was and because i was pushed to my boundaries my aphasia had clearly flared up," But because I was as tired as I was and because I was pushed to my boundaries, my aphasia had clearly flared up."
so i walked in this hotel, I walked in this hotel
and clearly there were a lot of vacancies," There were lots of, I mean, clearly there were a lot of vacancies."
well actually i didn't know that right away," Well, actually, I didn't know that right away."
but i thought it said vacanciesq, But I thought it said bankruptcy.
but i wasn't sure, but I wasn't sure.
but i walked in the door, I walked in the door.
and there's this woman behind the the desk, And there's this woman behind the desk.
and i said, and I said
you know i'm here for a room," know, I'm here for a room."
and i said," and I said,"
do you have any vaccinations, do you have any vaccinations?
and and of course that's what happens with aphasia is you say a different word," And of course, that's what happens with aphasia is you say the word."
and now vaccinations could have been a response to covid," And now vaccinations could have meant a response to COVID,"
that people are wearing masks, that people are wearing masks.
and they're being very careful about that, and they're being very careful about that.
so of course i was trying to say," But so of course I was trying to say,"
do you have a vacancy, do you have a...
but what came out is, Right.
do you have a vaccination, you have a vaccination?
and so the woman went into her covid protocol, And so the woman went into her COVID protocol
yeah everybody here has been vaccinated, Everybody here has been vaccinated.
we all wear masks, We all wear masks.
we wipe everything down, You wipe everything down.
and i'm just saying, I'm just saying
so you have a room, So you have a room.
and she said," And she said,"
yes yes yes yes," Yes, yes, yes, yes."
and don't worry, Don't worry.
we followed covid, We followed COVID.
and don't worry," and don't worry,"
you're not gonna get it here, You're not going to get it here.
and she gave me a room, And she gave me a room
and i realized that was one way to cover things up is you just go with it you know," I realized that was one way to cover things up is you just go with it, you know?"
i wanted to ask if she had a vacancy, I wanted to ask if she had a vacancy
i said," I said,"
do you have a vaccination, you have a back
and so we just went with vaccination, And so we just went with Bex
and then finally i worked my way back to, And then finally I went my way back
do you have an empty room that i can sleep in, have an empty room that I can sleep in.
so i got in the room went in drank a lot of cold water and literally slept for twelve hours," So I got in the room, went in, drank a lot of cold water, and literally supped for 12"
yeah alright, Yeah.
so that's that's another story, So that's another story.
restaurant, Thank you.
okay," Um,"
i guess if i were going to choose something to talk about restaurants i would talk about how i paid my way through my undergrad career which is through waitressing," I guess if I were going to choose something to talk about restaurants, I would talk about how I paved my way through my undergrad career, which is through"
i waitressed beginning at at kind of a little coffee shop that was near where i lived because i had no car, I waitressed beginning at kind of a little coffee shop that was near where I lived because I had no car
and i could just bike there, And I could just bike there.
and they were very very kind," And they were very, very kind."
and i did the breakfast shift, and I did the breakfast show
but i learned very quickly after about six months that you would get paid ten to fifteen percent as a tip based upon the the prices of the restaurant, But I learned very quickly after about six months that you would get paid 10 to 15 percent as a tip based upon the prices of the restaurant.
so what made sense was to find the restaurant that was the most expensive in terms of prices and work there yeah, So what made sense was to find the restaurant that was the most expensive in terms of prices and we're there. Absolutely.
because you're doing the exact same same part of service, Because you're doing the exact same part of service
but if they're only paying five dollars for their meal and they're handing you fifty cents that's not gonna be nearly as good as if they spent twenty dollars for their meal and paid you two or four dollars for it," If they're only paying $5 for their meal and they're handing you 50 cents, that's not going to be nearly as good as if they spent $20 for their meal and paid you two or four dollars for it."
so what i learned to do is keep going to more and more and more expensive restaurants, So what I learned to do is keep going to more and more and more expensive restaurants.
i mean the the the maybe untold story is the waitresses that work in the the the greasy spoon places are just as good if not better than the waitresses in the really highly you know highly priced establishments," I mean, the maybe untold story is the waitresses that work in the, like the greasy spoon places are just as good, if not better than the waitress in the really highly, you know, highly priced stores."
